iter	Logloss
0	0.6859087251
1	0.6803252149
2	0.6751749894
3	0.6704527008
4	0.6662392625
5	0.6621691871
6	0.65844729
7	0.6554952109
8	0.652524272
9	0.6499051979
10	0.6470781124
11	0.6449071798
12	0.6425717778
13	0.6404582315
14	0.638701882
15	0.6371078659
16	0.6355984341
17	0.6341398382
18	0.6327944328
19	0.6314182536
20	0.6302828532
21	0.6292048074
22	0.6281600194
23	0.6271320185
24	0.6262071293
25	0.6253852096
26	0.62459332
27	0.6239295725
28	0.6232589899
29	0.6226379934
30	0.6221430347
31	0.6216776156
32	0.621123103
33	0.6206708794
34	0.6200943584
35	0.6194399776
36	0.6189754128
37	0.6185657662
38	0.6182288532
39	0.6178508188
40	0.6174940492
41	0.6169868285
42	0.6166621774
43	0.6163020061
44	0.615976026
45	0.6156993472
46	0.6154379366
47	0.6151863831
48	0.6149595752
49	0.6146359684
50	0.6144045246
51	0.6141141598
52	0.6138745044
53	0.6135933955
54	0.6132845506
55	0.6130433605
56	0.6128645248
57	0.6126971125
58	0.6122719128
59	0.6120043
60	0.6117864473
61	0.6116292402
62	0.611391436
63	0.6111505781
64	0.6109544806
65	0.6107186383
66	0.610535594
67	0.6104255522
68	0.6102618739
69	0.6101194761
70	0.6099865241
71	0.6098811814
72	0.6096754167
73	0.6095674001
74	0.6093773308
75	0.6092647258
76	0.6089956732
77	0.608861851
78	0.6087484233
79	0.6084805415
80	0.608363364
81	0.6082426107
82	0.608116557
83	0.6078949071
84	0.6075452257
85	0.6073840314
86	0.6071805925
87	0.6070905497
88	0.6070118512
89	0.6069378044
90	0.6068560681
91	0.6067654399
92	0.6066155109
93	0.6065379199
94	0.606356964
95	0.6062313376
96	0.6061571009
97	0.6060603496
98	0.6059805594
99	0.6059017027
100	0.6057873573
101	0.605703042
102	0.6056024934
103	0.6055021821
104	0.6054429288
105	0.6053811915
106	0.6051873881
107	0.6050906684
108	0.6049801994
109	0.6049290786
110	0.6048849195
111	0.6046822876
112	0.604569556
113	0.6044377273
114	0.6043746135
115	0.6042572145
116	0.6041994801
117	0.604077999
118	0.6040103126
119	0.6038769492
120	0.6035916316
121	0.6035146261
122	0.6034487593
123	0.6032682306
124	0.6032248784
125	0.6031444869
126	0.6030638423
127	0.603014462
128	0.6027909925
129	0.6026856498
130	0.6026197196
131	0.6024890143
132	0.6024308686
133	0.6023616316
134	0.6022529505
135	0.6020603971
136	0.6019488364
137	0.6019188538
138	0.6018561039
139	0.6017942083
140	0.6016766985
141	0.6016384094
142	0.6016021454
143	0.6015575275
144	0.6014821674
145	0.6013687081
146	0.6012246965
147	0.6011600321
148	0.6010288996
149	0.6009573052
150	0.6008950615
151	0.6008472475
152	0.6007646727
153	0.6007213047
154	0.6006560548
155	0.6005590503
156	0.6003996598
157	0.6002924501
158	0.6002436077
159	0.6000421782
160	0.5999785106
161	0.5999110141
162	0.5998564125
163	0.5998099433
164	0.5997620819
165	0.5997322258
166	0.5995256542
167	0.5994868745
168	0.5994380321
169	0.5993488911
170	0.5993176269
171	0.5992749234
172	0.5992261284
173	0.5991489014
174	0.5991093939
175	0.5990349516
176	0.5989414279
177	0.5988990092
178	0.5988550083
179	0.5988125263
180	0.5987577823
181	0.5987130061
182	0.5986752549
183	0.5986252416
184	0.5985725703
185	0.5985052478
186	0.5982783291
187	0.5982205947
188	0.5981740148
189	0.5981211853
190	0.5979067343
191	0.5978001891
192	0.5977560775
193	0.5976849419
194	0.5975430663
195	0.5974362047
196	0.5973180146
197	0.5971689558
198	0.5970265106
199	0.5969798833
200	0.5969214685
201	0.5968384348
202	0.5967651949
203	0.5967309245
204	0.5966525583
205	0.5966121965
206	0.5964588341
207	0.5963074811
208	0.5962344786
209	0.5961586597
210	0.5961128393
211	0.5960343939
212	0.5959942694
213	0.5958880091
214	0.5957951499
215	0.5957514654
216	0.5957138883
217	0.5956730043
218	0.5955833728
219	0.5955386916
220	0.5954929661
221	0.5954414181
222	0.595415122
223	0.5953636215
224	0.5953088775
225	0.5952282803
226	0.5951707675
227	0.5951220358
228	0.5950748389
229	0.5949585157
230	0.594913882
231	0.5948487113
232	0.5948139979
233	0.5947719114
234	0.5947156485
