iter	Logloss
235	0.5946924851
236	0.5946461584
237	0.5946172358
238	0.5945736305
239	0.5945369552
240	0.5944715946
241	0.594392374
242	0.5943459523
243	0.5942407362
244	0.5941543957
245	0.5941134801
246	0.5940788616
247	0.5940349715
248	0.5939916351
249	0.5939422547
250	0.5939013391
251	0.5937975312
252	0.5937094028
253	0.5936628387
254	0.593620515
255	0.593578476
256	0.5935066442
257	0.5934125352
258	0.5933294065
259	0.5933020978
260	0.5932561033
261	0.593183528
262	0.5931490835
263	0.5930743089
264	0.5930394056
265	0.5929831269
266	0.5929395848
267	0.5928967864
268	0.5928772463
269	0.5928247964
270	0.5927696569
271	0.5927213998
272	0.5926839967
273	0.5926028142
274	0.5925791287
275	0.5925541141
276	0.5924632802
277	0.5924245164
278	0.5923976823
279	0.5923554535
280	0.5922687174
281	0.5920698353
282	0.5920340776
283	0.5919884629
284	0.5919137832
285	0.5918901926
286	0.5918639914
287	0.5917853404
288	0.5917451368
289	0.5916605525
290	0.5916218678
291	0.5915760474
292	0.5915325211
293	0.5914850552
294	0.5914407695
295	0.5913399519
296	0.5913106971
297	0.5912639115
298	0.5912359067
299	0.5912073638
300	0.5910862941
301	0.5910418344
302	0.5909877707
303	0.5909500511
304	0.5908226843
305	0.5907872747
306	0.5907059181
307	0.5905889146
308	0.5905458631
309	0.5904792684
310	0.5904390489
311	0.5902443121
312	0.5901333685
313	0.5900752385
314	0.5900418858
315	0.5899731235
316	0.5899059276
317	0.5897603971
318	0.5897062544
319	0.5896555133
320	0.5895951683
321	0.5895255675
322	0.5894686558
323	0.589422867
324	0.5893543895
325	0.5893039966
326	0.5892641252
327	0.5892024512
328	0.5891103515
329	0.5890558131
330	0.5889544734
331	0.5888687183
332	0.5887123814
333	0.5886689185
334	0.5886130511
335	0.5885451749
336	0.588493706
337	0.5884539137
338	0.5884003722
339	0.5883005197
340	0.5882420734
341	0.5881434392
342	0.5880924292
343	0.5880498997
344	0.5879832259
345	0.5879267573
346	0.5878856993
347	0.5878216045
348	0.587717401
349	0.5876581477
350	0.5875262083
351	0.5874636957
352	0.5874220206
353	0.5873588751
354	0.5872763636
355	0.5870955659
356	0.5870126588
357	0.5869644809
358	0.5868994842
359	0.5868149
360	0.5867639216
361	0.5867024532
362	0.5866563955
363	0.5866077904
364	0.586528997
365	0.5864608201
366	0.5863662047
367	0.5862700229
368	0.586196783
369	0.586102579
370	0.5860472338
371	0.5859798005
372	0.5858968776
373	0.5858174829
374	0.5857402084
375	0.58566488
376	0.585596007
377	0.5855056477
378	0.5854439895
379	0.5853342008
380	0.5852647266
381	0.5852045398
382	0.5851194334
383	0.5850561139
384	0.5849742827
385	0.5848927046
386	0.5848184362
387	0.58476442
388	0.5847176819
389	0.5846381924
390	0.5845653005
391	0.5845142114
392	0.5844430758
393	0.5843846294
394	0.584318636
395	0.5842399375
396	0.5840906098
397	0.5840369733
398	0.5839575628
399	0.5838945914
400	0.5838224274
401	0.5837511969
402	0.5836726724
403	0.5836046221
404	0.5835427582
405	0.5834557532
406	0.583400582
407	0.5833399838
408	0.5832535801
409	0.5832170471
410	0.5831491392
411	0.5831029707
412	0.5830507899
413	0.5828944371
414	0.5827583682
415	0.5827136711
416	0.5826774863
417	0.5826110973
418	0.5825251682
419	0.5824579406
420	0.5824182275
421	0.5823409846
422	0.5822809086
423	0.5822045992
424	0.5821500925
425	0.5820998261
426	0.5820146248
427	0.5819433468
428	0.5818959917
429	0.5818401718
430	0.5817699222
431	0.5817070774
432	0.5816583773
433	0.581575217
434	0.5814742254
435	0.5814053998
436	0.5812631129
437	0.5812018344
438	0.5811612352
439	0.5810962069
440	0.5810235524
441	0.580972843
442	0.5809359145
443	0.5808703324
444	0.5808219172
445	0.5807709863
446	0.5807098818
447	0.5806213737
448	0.5805631647
449	0.5804969023
450	0.5804587713
451	0.5804184728
452	0.5803552324
453	0.5802918337
454	0.5802267738
455	0.5801481386
456	0.5800782529
457	0.5800283663
458	0.5799881468
459	0.5799375007
460	0.5798991957
461	0.5798405595
462	0.5797901507
463	0.5797365458
464	0.579678938
465	0.5796037362
466	0.5795371732
467	0.5794695975
468	0.5794196476
469	0.5793715488
470	0.5793241145
471	0.5792817433
472	0.579224357
473	0.5791411176
474	0.5790912626
475	0.5790351737
476	0.5789649241
477	0.5788898331
478	0.5788333803
479	0.5787889205
480	0.5787336702
481	0.5786882295
482	0.5786284699
483	0.5785825388
484	0.5784854868
485	0.5784311858
486	0.578377581
487	0.5783205111
488	0.5782881235
489	0.5782431891
490	0.5781686202
491	0.578119841
492	0.578052392
493	0.5780068089
494	0.5779281737
495	0.5778695058
496	0.5778215336
497	0.5777824692
498	0.5777257949
499	0.5776439478
